threshold,tier,precision,recall,f1,granularity,plagdet,tp_chars,fp_chars,fn_chars
0.05,lexical,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.05,semantic,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.05,hybrid,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.1,lexical,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.1,semantic,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.1,hybrid,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.15,lexical,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.15,semantic,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.15,hybrid,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.2,lexical,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.2,semantic,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.2,hybrid,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.25,lexical,0.9857,0.7525,0.8221,1.0,0.8221,3853,71,1412
0.25,semantic,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.25,hybrid,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.3,lexical,0.9857,0.7525,0.8221,1.0,0.8221,3853,71,1412
0.3,semantic,0.9857,0.7767,0.8359,1.0,0.8359,4040,71,1225
0.3,hybrid,0.9857,0.7525,0.8221,1.0,0.8221,3853,71,1412
0.35,lexical,0.9857,0.6955,0.7845,1.0,0.7845,3487,71,1778
0.35,semantic,0.9962,0.7767,0.8395,1.0,0.8395,4040,21,1225
0.35,hybrid,0.9857,0.7525,0.8221,1.0,0.8221,3853,71,1412
0.4,lexical,0.9835,0.6593,0.7625,1.0,0.7625,3280,71,1985
0.4,semantic,1.0,0.7767,0.8415,1.0,0.8415,4040,0,1225
0.4,hybrid,0.9857,0.7188,0.8019,1.0,0.8019,3667,71,1598
0.45,lexical,0.9812,0.6262,0.734,1.0,0.734,3091,50,2174
0.45,semantic,1.0,0.7525,0.8277,1.0,0.8277,3853,0,1412
0.45,hybrid,0.9873,0.6593,0.7644,1.0,0.7644,3280,50,1985
0.5,lexical,0.9812,0.5915,0.7023,1.0,0.7023,2899,50,2366
0.5,semantic,1.0,0.5643,0.689,1.0,0.689,2901,0,2364
0.5,hybrid,0.9812,0.5915,0.7023,1.0,0.7023,2899,50,2366
0.55,lexical,0.9812,0.5124,0.6387,1.0,0.6387,2500,50,2765
0.55,semantic,1.0,0.3701,0.5317,1.0,0.5317,1788,0,3477
0.55,hybrid,0.9812,0.5124,0.6387,1.0,0.6387,2500,50,2765
0.6,lexical,0.9812,0.4775,0.6175,1.0,0.6175,2315,50,2950
0.6,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.6,hybrid,0.9812,0.4775,0.6175,1.0,0.6175,2315,50,2950
0.65,lexical,0.9812,0.4525,0.5776,1.0,0.5776,2122,50,3143
0.65,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.65,hybrid,0.975,0.393,0.5196,1.0,0.5196,1753,50,3512
0.7,lexical,0.975,0.393,0.5196,1.0,0.5196,1753,50,3512
0.7,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.7,hybrid,0.975,0.3425,0.4859,1.0,0.4859,1575,50,3690
0.75,lexical,0.975,0.393,0.5196,1.0,0.5196,1753,50,3512
0.75,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.75,hybrid,0.975,0.3425,0.4859,1.0,0.4859,1575,50,3690
0.8,lexical,0.975,0.393,0.5196,1.0,0.5196,1753,50,3512
0.8,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.8,hybrid,1.0,0.3425,0.4885,1.0,0.4885,1575,0,3690
0.85,lexical,0.975,0.3425,0.4859,1.0,0.4859,1575,50,3690
0.85,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.85,hybrid,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.9,lexical,0.975,0.3425,0.4859,1.0,0.4859,1575,50,3690
0.9,semantic,1.0,0.0,0.0,1.0,0.0,0,0,5265
0.9,hybrid,1.0,0.0,0.0,1.0,0.0,0,0,5265
